X,Y,Result,Player,Quarter
306,139,Missed,CURRY,1st Quarter
303,187,Missed,CURRY,1st Quarter
259,119,Missed,CURRY,1st Quarter
145,296,Missed,EDWARDS,1st Quarter
183,53,Made,EDWARDS,1st Quarter
250,352,Missed,EDWARDS,1st Quarter
115,37,Made,EDWARDS,1st Quarter
79,246,Made,JAMES,1st Quarter
108,265,Missed,JAMES,1st Quarter
135,39,Missed,DURANT,1st Quarter
266,296,Made,DURANT,1st Quarter
268,310,Missed,DURANT,1st Quarter
72,197,Made,TATUM,1st Quarter
63,410,Missed,TATUM,1st Quarter
161,168,Missed,EMBIID,1st Quarter
87,225,Missed,DAVIS,1st Quarter
142,403,Made,BOOKER,1st Quarter
81,204,Made,BOOKER,1st Quarter
51,200,Made,BOOKER,1st Quarter
