X,Y,Result,Player,Video_URL
80,256,Made,LEBRON,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
136,103,Missed,LEBRON,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
291,91,Made,CURRY,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
254,286,Made,CURRY,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
132,33,Missed,CURRY,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
65,29,Made,DURANT,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
172,323,Made,DURANT,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
215,171,Made,DURANT,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
211,301,Missed,DURANT,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
54,184,Made,DAVIS,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
116,222,Made,DAVIS,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
48,302,Missed,DAVIS,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
58,408,Made,BOOKER,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
90,323,Made,BOOKER,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
238,226,Missed,BOOKER,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
259,133,Missed,BOOKER,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
166,394,Missed,BOOKER,https://player.vimeo.com/video/1044689681?title=0&amp;byline=0&amp;portrait=0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479
