TEAM,PLAYER,STATISTIC,SUBSTATISTIC,VIDEO_LINK
USA,DURANT,REB,DEF,https://drive.google.com/drive/folders/1OoLzgsSw1zyb-uRxIDZ5U-Kda_7IZurD?usp=sharing
USA,DURANT,AST,,https://drive.google.com/drive/folders/1NDd0RrtEfF0iOFRRwQc0BbsD6hh0-KGP?usp=sharing
USA,DURANT,TOV,,https://drive.google.com/drive/folders/1IifWViOfQ-k26ckaosBSRBxaG8_y6v9o?usp=sharing
USA,DURANT,FIELD GOAL,,https://drive.google.com/drive/folders/1JF2OddwBuiPyHN3NtXBiJM3BhFlxxI00?usp=sharing
USA,EMBIID,REB,DEF,https://drive.google.com/drive/folders/1kGdsfhxYYUXJ5j3Wu1er9RTjwM0Vsql4?usp=sharing
USA,EMBIID,FIELD GOAL,,https://drive.google.com/drive/folders/1SwQPXCxxtHMRm4VIDRpC-Fz_gs9zzapJ?usp=share_link
USA,LEBRON,REB,DEF,https://drive.google.com/drive/folders/1e6Ua5EeJ1Iis7GlFzlRj7iXnxVjKSLu6?usp=sharing
USA,LEBRON,ASSIST,,https://drive.google.com/drive/folders/1Lcc7iMvrs_nCG6VzGCeCk_XcxzNJjukd?usp=sharing
USA,LEBRON,STEAL,,https://drive.google.com/file/d/1d9ZzIkm79CAyDug9dm6izKsfXQPCSjee/view?usp=share_link
USA,LEBRON,FIELD GOAL,,https://drive.google.com/drive/folders/1joKgxw_JBwrENBG5DnSviCymcDiCy4EP?usp=sharing
USA,LEBRON,BLOCK,,https://drive.google.com/drive/folders/15eQStu_jVgX82lE1kRQcpRwjDt3cWij1?usp=sharing
USA,STEPH,REB,DEF,https://drive.google.com/drive/folders/1yqhamP-E2qqyI_l2N8AW4iGSBl1HoZBd?usp=sharing
USA,STEPH,ASSIST,,https://drive.google.com/drive/folders/1tXmw3DTRpLPZBHUbsnFPJ5Sky17r1lLo?usp=sharing
USA,STEPH,STEAL,,https://drive.google.com/drive/folders/1Zt4e-XvOL9bOMLuwCk1nAnk0xEs-19KN?usp=sharing
USA,STEPH,TURNOVER,,https://drive.google.com/drive/folders/1uT-6U1yKxIUprZk9QtdGQ5Z-1VvMR67C?usp=sharing
USA,STEPH,FIELD GOAL,,https://drive.google.com/drive/folders/1NngJgj0oig2wH9EeKPdpM9WC2zB4w1Tx?usp=sharing
USA,BOOKER,REB,DEF,https://drive.google.com/drive/folders/1CGF5Qtvc4B9OlTHdOrEktAKAabEr3LQs?usp=sharing
USA,BOOKER,ASSIST,,https://drive.google.com/drive/folders/1WBs_dmPAzgTM5t_63E-sVxp0t_b7Llxl?usp=share_link
USA,BOOKER,TOV,,https://drive.google.com/drive/folders/1vbyrLov4BH1w-79YN4zvlluiuhG0TOJk?usp=sharing
